t,line
4098.8081,MEAS ms=112489 seq=3508 src=1 c9=1086 c10=1500 c11=1012 c12=1500 step=2
4098.8081,MEAS ms=112534 seq=3509 src=1 c9=1087 c10=1499 c11=1012 c12=1500 step=2
4098.8081,MEAS ms=112579 seq=3510 src=1 c9=1087 c10=1500 c11=1012 c12=1499 step=2
4098.8810,MEAS ms=112624 seq=3511 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.8811,MEAS ms=112669 seq=3512 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.8811,MEAS ms=112689 seq=3513 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9162,MEAS ms=112697 seq=3514 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9162,MEAS ms=112706 seq=3515 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9162,MEAS ms=112715 seq=3516 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9162,MEAS ms=112724 seq=3517 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9437,MEAS ms=112732 seq=3518 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9437,MEAS ms=112741 seq=3519 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4098.9437,MEAS ms=112750 seq=3520 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.0881,MEAS ms=112759 seq=3521 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.0881,MEAS ms=112769 seq=3522 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.0881,MEAS ms=112814 seq=3523 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.0881,MEAS ms=112859 seq=3524 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.2231,MEAS ms=112904 seq=3525 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.2231,MEAS ms=112949 seq=3526 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.2231,MEAS ms=112994 seq=3527 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.4035,MEAS ms=113039 seq=3528 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.4036,MEAS ms=113084 seq=3529 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.4036,MEAS ms=113129 seq=3530 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.4036,MEAS ms=113174 seq=3531 src=1 c9=1087 c10=1500 c11=1012 c12=1500 step=2
4099.4403,MEAS ms=113219 seq=3532 src=1 c9=1117 c10=1500 c11=1012 c12=1500 step=3
